time,Hips,Hips,Spine,Chest,Neck,Head,LeftEye,RightEye,LeftShoulder,LeftUpperArm,LeftLowerArm,LeftHand,RightShoulder,RightUpperArm,RightLowerArm,RightHand,LeftUpperLeg,LeftLowerLeg,LeftFoot,LeftToes,RightUpperLeg,RightLowerLeg,RightFoot,RightToes
0,0.007911 1.062050 -0.007428,357.671 336.356 354.042,3.374 6.080 1.116,0.000 0.000 0.000,7.059 16.676 6.476,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.430 45.686 82.920,358.545 40.346 358.733,0.000 0.000 0.000,0.000 0.000 0.000,20.263 322.022 281.984,358.981 334.687 0.691,0.000 0.000 0.000,346.322 19.905 0.612,36.326 1.805 1.668,0.000 0.000 0.000,0.000 0.000 0.000,350.572 17.775 7.281,39.199 357.933 358.051,0.000 0.000 0.000,0.000 0.000 0.000
0.033839,0.007911 1.062050 -0.007428,357.671 336.356 354.042,3.374 6.080 1.116,0.000 0.000 0.000,7.059 16.676 6.476,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,20.430 45.686 82.920,358.545 40.346 358.733,0.000 0.000 0.000,0.000 0.000 0.000,20.263 322.022 281.984,358.981 334.687 0.691,0.000 0.000 0.000,346.322 19.905 0.612,36.326 1.805 1.668,0.000 0.000 0.000,0.000 0.000 0.000,350.572 17.775 7.281,39.199 357.933 358.051,0.000 0.000 0.000,0.000 0.000 0.000
0.066785,0.019055 1.062050 -0.007428,357.444 334.647 353.693,3.369 6.294 1.155,0.000 0.000 0.000,7.508 17.177 6.171,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.281 45.054 83.025,358.565 39.528 358.767,0.000 0.000 0.000,0.000 0.000 0.000,20.457 325.865 282.488,358.991 334.977 0.681,0.000 0.000 0.000,343.706 20.924 1.045,37.816 1.924 1.782,0.000 0.000 0.000,0.000 0.000 0.000,347.850 19.295 7.950,41.760 357.699 357.822,0.000 0.000 0.000,0.000 0.000 0.000
0.099958,0.024584 1.062050 -0.007428,357.327 333.809 353.524,3.367 6.387 1.173,0.000 0.000 0.000,7.728 17.423 6.012,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.712 44.684 83.093,358.574 39.140 358.784,0.000 0.000 0.000,0.000 0.000 0.000,20.545 327.803 282.758,358.995 335.106 0.676,0.000 0.000 0.000,342.374 21.408 1.275,38.588 1.988 1.844,0.000 0.000 0.000,0.000 0.000 0.000,346.454 20.010 8.289,43.074 357.569 357.695,0.000 0.000 0.000,0.000 0.000 0.000
0.133624,0.021755 1.062050 -0.007428,357.060 333.237 353.367,3.367 6.392 1.173,0.000 0.000 0.000,8.333 15.172 5.415,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.699 44.403 83.287,358.576 39.084 358.786,0.000 0.000 0.000,0.000 0.000 0.000,20.588 328.767 282.828,359.004 335.355 0.667,0.000 0.000 0.000,342.023 22.612 2.098,38.858 2.011 1.866,0.000 0.000 0.000,0.000 0.000 0.000,346.539 20.277 8.152,43.176 357.559 357.685,0.000 0.000 0.000,0.000 0.000 0.000
0.166751,0.019003 1.062050 -0.007428,356.799 332.691 353.220,3.367 6.389 1.173,0.000 0.000 0.000,8.900 12.968 4.789,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.695 44.114 83.469,358.577 39.039 358.788,0.000 0.000 0.000,0.000 0.000 0.000,20.629 329.712 282.900,359.012 335.597 0.659,0.000 0.000 0.000,341.662 23.756 2.896,39.127 2.034 1.888,0.000 0.000 0.000,0.000 0.000 0.000,346.621 20.526 8.012,43.276 357.549 357.675,0.000 0.000 0.000,0.000 0.000 0.000
0.199959,0.016248 1.062050 -0.007428,356.537 332.155 353.079,3.367 6.379 1.171,0.000 0.000 0.000,9.440 10.768 4.122,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.701 43.812 83.646,358.578 39.003 358.790,0.000 0.000 0.000,0.000 0.000 0.000,20.666 330.661 282.975,359.020 335.839 0.650,0.000 0.000 0.000,341.284 24.873 3.688,39.401 2.058 1.911,0.000 0.000 0.000,0.000 0.000 0.000,346.700 20.764 7.865,43.378 357.538 357.665,0.000 0.000 0.000,0.000 0.000 0.000
0.233587,0.016248 1.062050 -0.007428,356.597 332.812 353.433,3.381 5.697 1.046,0.000 0.000 0.000,8.959 10.315 3.352,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,18.920 42.520 83.250,358.597 38.218 358.823,0.000 0.000 0.000,0.000 0.000 0.000,20.768 332.079 282.832,359.048 336.653 0.622,0.000 0.000 0.000,341.961 25.426 3.915,38.489 1.980 1.836,0.000 0.000 0.000,0.000 0.000 0.000,347.033 21.107 7.436,43.158 357.561 357.687,0.000 0.000 0.000,0.000 0.000 0.000
0.266644,0.016248 1.062050 -0.007428,356.647 333.447 353.777,3.392 5.038 0.926,0.000 0.000 0.000,8.479 9.889 2.611,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.123 41.225 82.842,358.616 37.475 358.854,0.000 0.000 0.000,0.000 0.000 0.000,20.869 333.539 282.733,359.075 337.422 0.595,0.000 0.000 0.000,342.602 26.020 4.151,37.617 1.908 1.767,0.000 0.000 0.000,0.000 0.000 0.000,347.363 21.452 7.027,42.956 357.581 357.707,0.000 0.000 0.000,0.000 0.000 0.000
0.299934,0.016248 1.062050 -0.007428,356.691 334.090 354.127,3.402 4.373 0.804,0.000 0.000 0.000,7.976 9.471 1.864,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,19.317 39.867 82.404,358.635 36.740 358.884,0.000 0.000 0.000,0.000 0.000 0.000,20.974 335.109 282.676,359.102 338.178 0.570,0.000 0.000 0.000,343.235 26.682 4.407,36.746 1.838 1.700,0.000 0.000 0.000,0.000 0.000 0.000,347.703 21.812 6.620,42.762 357.600 357.726,0.000 0.000 0.000,0.000 0.000 0.000
